-- Medz's Given Hits Informer --
Time: 15:11:24
Date: 10/01/23
----------------------------------

[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 63.00 | Time: 14:46:52 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 6.60 | Health: 100.00 | Armor: 21.00 | Time: 14:46:57 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 19.80 | Health: 100.00 | Armor: 14.00 | Time: 14:46:57 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 9.90 | Health: 100.00 | Armor: 14.00 | Time: 14:46:58 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 16.50 | Health: 100.00 | Armor: 14.00 | Time: 14:46:59 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 13.20 | Health: 100.00 | Armor: 7.00 | Time: 14:47:00 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 13.20 | Health: 98.00 | Armor: 0.00 | Time: 14:47:01 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 9.90 | Health: 91.00 | Armor: 0.00 | Time: 14:47:02 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 6.60 | Health: 84.00 | Armor: 0.00 | Time: 14:47:03 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sawnoff Shotgun | Damage: 6.60 | Health: 63.00 | Armor: 0.00 | Time: 14:47:09 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Desert Eagle | Damage: 46.20 | Health: 56.00 | Armor: 0.00 | Time: 14:47:10 | Date: 10/02/23
[GIVE] > Name: Hassmenol(25) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 14.00 | Armor: 0.00 | Time: 14:47:28 | Date: 10/02/23
[GIVE] > Name: NeeeeeeeeeeX(9) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 77.00 | Armor: 100.00 | Time: 14:47:38 | Date: 10/02/23
[GIVE] > Name: NeeeeeeeeeeX(9) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 77.00 | Armor: 63.00 | Time: 14:47:39 | Date: 10/02/23
[GIVE] > Name: jompwe125(15) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 77.00 | Armor: 63.00 | Time: 14:47:40 | Date: 10/02/23
[GIVE] > Name: jompwe125(15) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 77.00 | Armor: 21.00 | Time: 14:47:42 | Date: 10/02/23
[GIVE] > Name: jompwe125(15) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 56.00 | Armor: 0.00 | Time: 14:47:43 | Date: 10/02/23
[GIVE] > Name: jompwe125(15) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 14.00 | Armor: 0.00 | Time: 14:47:44 | Date: 10/02/23
[GIVE] > Name: Gomez(23) | Class: Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 0.00 | Time: 14:47:45 | Date: 10/02/23
[GIVE] > Name: Xspencer(21) | Class: Low Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 0.00 | Time: 14:47:46 | Date: 10/02/23
[GIVE] > Name: NeeeeeeeeeeX(9) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 77.00 | Armor: 21.00 | Time: 14:47:54 | Date: 10/02/23
[GIVE] > Name: NeeeeeeeeeeX(9) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 56.00 | Armor: 0.00 | Time: 14:47:56 | Date: 10/02/23
[GIVE] > Name: NeeeeeeeeeeX(9) | Class: Highly Wanted | Weapon: Sniper Rifle | Damage: 41.25 | Health: 14.00 | Armor: 0.00 | Time: 14:47:57 | Date: 10/02/23
[GIVE] > Name: .Echo(7) | Class: Police Officer | Weapon: Sniper Rifle | Damage: 41.25 | Health: 100.00 | Armor: 100.00 | Time: 13:08:05 | Date: 10/04/23
